seq,timestamp_ms,red,ir,red_corrected,ir_corrected,datetime
93,136937,40560,100870,-31.645415392343462,-33.20863731610985,1970-01-01 00:02:16.937
94,136959,40575,100880,-17.255065604867628,-22.9638430411012,1970-01-01 00:02:16.959
95,136982,40568,100868,-24.08825461613728,-34.27933861997675,1970-01-01 00:02:16.982
96,136992,40573,100883,-18.70370671574565,-19.189493921220784,1970-01-01 00:02:16.992
97,137012,40570,100885,-21.89654576983025,-17.56263235960308,1970-01-01 00:02:17.012
98,137038,40577,100880,-14.430085529169958,-22.347911492462813,1970-01-01 00:02:17.038
99,137053,40573,100880,-18.659529593592364,-22.108348512133198,1970-01-01 00:02:17.053
100,137072,40589,100889,-2.883499787184157,-12.949618020205731,1970-01-01 00:02:17.072
101,137100,40575,100879,-16.847415297618127,-23.014656192494567,1970-01-01 00:02:17.100
102,137120,40575,100894,-15.689039078355435,-8.120662849645022,1970-01-01 00:02:17.120
103,137140,40573,100927,-17.95540755333724,25.1702344792918,1970-01-01 00:02:17.140
104,137160,40580,100920,-11.41267317133009,18.15095106378141,1970-01-01 00:02:17.160
105,137180,40565,100927,-26.468152121446103,24.66330210802045,1970-01-01 00:02:17.180
106,137193,40568,100910,-23.60304317404245,7.5367500590288445,1970-01-01 00:02:17.193
107,137215,40570,100884,-21.21593067690729,-18.25523645023484,1970-01-01 00:02:17.215
108,137235,40568,100908,-22.5128242918834,5.65121186424733,1970-01-01 00:02:17.235
109,137260,40573,100887,-17.460778991809075,-15.065288544298332,1970-01-01 00:02:17.260
110,137280,40598,100893,6.794370729798016,-8.96261853743338,1970-01-01 00:02:17.280
111,137301,40573,100899,-17.557752149422775,-3.179999692254328,1970-01-01 00:02:17.301
112,137321,40569,100883,-21.660026157918733,-19.115418692573627,1970-01-01 00:02:17.321
113,137331,40569,100855,-21.32963692019761,-46.81678798812359,1970-01-01 00:02:17.331
114,137364,40576,100871,-13.991369899024036,-30.7575857865243,1970-01-01 00:02:17.364
115,137386,40584,100862,-6.4999604666684085,-39.72039970904912,1970-01-01 00:02:17.386
116,137396,40572,100821,-18.63461482595573,-80.16544717176625,1970-01-01 00:02:17.396
117,137417,40586,100867,-4.457439495703127,-33.67208142366739,1970-01-01 00:02:17.417
118,137438,40574,100863,-16.191630484401138,-37.60092975423361,1970-01-01 00:02:17.438
119,137459,40568,100866,-21.656671678226274,-34.95665516704579,1970-01-01 00:02:17.459
120,137480,40564,100868,-26.352076942639748,-32.513453205934496,1970-01-01 00:02:17.480
121,137493,40547,100861,-43.07232266678273,-39.08287161112518,1970-01-01 00:02:17.493
122,137519,40567,100871,-23.32311713051392,-28.959891793179565,1970-01-01 00:02:17.519
123,137539,40579,100868,-11.296086336538824,-32.0838235537056,1970-01-01 00:02:17.539
124,137559,40562,100888,-27.89448859365824,-12.257916544005388,1970-01-01 00:02:17.559
125,137571,40574,100875,-15.743404811943654,-24.94337563109161,1970-01-01 00:02:17.571
126,137593,40573,100872,-16.61651521586228,-27.430906900047443,1970-01-01 00:02:17.593
127,137617,40571,100878,-18.10630128372357,-21.30137918726943,1970-01-01 00:02:17.617
128,137640,40575,100874,-14.086547263651632,-25.43732119389663,1970-01-01 00:02:17.640
129,137663,40580,100870,-9.626099320217827,-29.311522067407264,1970-01-01 00:02:17.663
130,137682,40572,100881,-17.757951657625384,-18.06660758125107,1970-01-01 00:02:17.682
131,137693,40558,100883,-31.49978168070571,-16.06891665722432,1970-01-01 00:02:17.693
132,137717,40571,100882,-18.545001182302894,-17.26575811848426,1970-01-01 00:02:17.717
133,137738,40560,100892,-29.390703197309417,-7.136944302389249,1970-01-01 00:02:17.738
134,137759,40573,100887,-16.088970796724748,-11.675915177991554,1970-01-01 00:02:17.759
135,137780,40592,100876,1.9277544578704855,-22.713602571271714,1970-01-01 00:02:17.780
136,137795,40572,100889,-17.164353977272718,-10.322117374936072,1970-01-01 00:02:17.795
137,137822,40577,100890,-11.867201304751372,-8.770823409689282,1970-01-01 00:02:17.822
138,137845,40565,100880,-23.811360713084845,-18.788357608800688,1970-01-01 00:02:17.845
139,137858,40565,100896,-23.61365044079402,-3.1492338572788845,1970-01-01 00:02:17.858
140,137879,40570,100901,-18.45600795196076,2.3407471266254403,1970-01-01 00:02:17.879
141,137900,40565,100894,-24.08471697602674,-4.449642390049696,1970-01-01 00:02:17.900
142,137921,40594,100887,5.313208335341822,-11.945211540789662,1970-01-01 00:02:17.921
143,137932,40576,100923,-12.096807802489772,23.752262412010825,1970-01-01 00:02:17.932
144,137965,40591,100906,2.6094991553715907,6.871767331276931,1970-01-01 00:02:17.965
145,137985,40575,100895,-13.30189181653283,-4.162895113793838,1970-01-01 00:02:17.985
146,138004,40576,100913,-12.17119342829452,13.56163018295861,1970-01-01 00:02:18.004
147,138014,40591,100904,2.5623660660274545,4.549275990221497,1970-01-01 00:02:18.014
148,138035,40593,100922,3.9301246730523216,23.11277694303009,1970-01-01 00:02:18.035
149,138056,40591,100919,2.4940469043942173,20.060129805716706,1970-01-01 00:02:18.056
150,138077,40593,100937,3.8227177784381023,37.61675031828032,1970-01-01 00:02:18.077
151,138100,40593,100945,3.626998774082394,45.43055605608166,1970-01-01 00:02:18.100
152,138116,40580,100950,-9.109987513629466,50.19581966751621,1970-01-01 00:02:18.116
153,138134,40588,100954,-1.2209757131419918,53.84616001459,1970-01-01 00:02:18.134
154,138162,40600,100963,10.897875671943384,62.53271351378793,1970-01-01 00:02:18.162
155,138173,40599,100908,9.545100840345864,7.4982379709048494,1970-01-01 00:02:18.173
156,138198,40595,100949,5.849026986960442,48.49657095689852,1970-01-01 00:02:18.198
157,138218,40598,100947,8.55226143047507,46.203850780638525,1970-01-01 00:02:18.218
158,138234,40596,100946,6.753532957738673,44.7980032641626,1970-01-01 00:02:18.234
159,138266,40596,100941,7.129782163144999,39.605068831731394,1970-01-01 00:02:18.266
160,138289,40588,100905,-0.7749589865736262,3.621814079640721,1970-01-01 00:02:18.289
161,138304,40593,100933,4.574662929861999,31.454003589982083,1970-01-01 00:02:18.304
162,138315,40598,100927,8.55169519803938,25.43705984342633,1970-01-01 00:02:18.315
163,138338,40598,100923,8.081626821834995,21.26042923872413,1970-01-01 00:02:18.338
164,138360,40601,100942,11.65116358204192,39.81793832922477,1970-01-01 00:02:18.360
165,138382,40591,100921,0.8884436335796968,18.697285224352736,1970-01-01 00:02:18.382
166,138394,40572,100931,-17.116480187711186,28.951370502140616,1970-01-01 00:02:18.394
167,138419,40594,100945,4.8522586934677285,42.51230150183911,1970-01-01 00:02:18.419
